"Query","Dates range","Impressions","Clicks","CTR %","Avg. position","Avg. click position","SERP impressions","Impressions for 1st position","Clicks from pos. 1","CTR % for pos. 1","Impressions for pos. 2-3","Clicks from pos. 2-3","CTR % for pos. 2-3","Avg. impression position for pos. 2-3","Avg. click position from pos. 2-3","Impressions for pos. 4-10","Clicks from pos. 4-10","CTR % for pos. 4-10","Avg. impression position for pos. 4-10","Avg. click position from pos. 4-10","Impressions for pos. 11-50","Clicks from pos. 11-50","CTR % for pos. 11-50","Avg. impression position for pos. 11-50","Avg. click position from pos. 11-50"
"доставка киров еды","2019-07-01 - 2019-09-09","6.00","0.00","0.00","16.50","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","6.00","0.00","0.00","16.50",""
"горячий обед киров","2019-07-01 - 2019-09-09","6.00","0.00","0.00","10.17","","0.00","0.00","0.00","","0.00","0.00","","","","4.00","0.00","0.00","9.25","","2.00","0.00","0.00","12.00",""
"вятский чебурек доставка","2019-07-01 - 2019-09-09","6.00","0.00","0.00","9.33","","0.00","0.00","0.00","","0.00","0.00","","","","5.00","0.00","0.00","8.80","","1.00","0.00","0.00","12.00",""
"шумовка 43","2019-07-01 - 2019-09-09","6.00","6.00","100.00","1.67","1.67","0.00","2.00","2.00","100.00","4.00","4.00","100.00","2.00","2.00","0.00","0.00","","","","0.00","0.00","","",""
"чебуречная","2019-07-01 - 2019-09-09","6.00","0.00","0.00","9.17","","0.00","0.00","0.00","","0.00","0.00","","","","3.00","0.00","0.00","7.33","","3.00","0.00","0.00","11.00",""
"калинина 40 кафе","2019-07-01 - 2019-09-09","6.00","0.00","0.00","3.67","","0.00","0.00","0.00","","3.00","0.00","0.00","3.00","","3.00","0.00","0.00","4.33","","0.00","0.00","","",""
"кировские пельмени","2019-07-01 - 2019-09-09","6.00","0.00","0.00","7.67","","0.00","0.00","0.00","","0.00","0.00","","","","6.00","0.00","0.00","7.67","","0.00","0.00","","",""
"доставка горячих блинов в кирове","2019-07-01 - 2019-09-09","6.00","1.00","16.67","3.00","2.00","0.00","0.00","0.00","","3.00","1.00","33.33","2.00","2.00","3.00","0.00","0.00","4.00","","0.00","0.00","","",""
"заказать еду в кирове на дом","2019-07-01 - 2019-09-09","6.00","0.00","0.00","11.83","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","6.00","0.00","0.00","11.83",""
"еge43","2019-07-01 - 2019-09-09","6.00","0.00","0.00","6.50","","0.00","0.00","0.00","","1.00","0.00","0.00","2.00","","5.00","0.00","0.00","7.40","","0.00","0.00","","",""
"заказать удон в кирове","2019-07-01 - 2019-09-09","6.00","0.00","0.00","5.33","","0.00","0.00","0.00","","2.00","0.00","0.00","3.00","","4.00","0.00","0.00","6.50","","0.00","0.00","","",""
"чизкейк киров доставка","2019-07-01 - 2019-09-09","6.00","0.00","0.00","6.17","","0.00","0.00","0.00","","0.00","0.00","","","","6.00","0.00","0.00","6.17","","0.00","0.00","","",""
"купить чизкейк киров","2019-07-01 - 2019-09-09","6.00","1.00","16.67","7.33","4.00","0.00","0.00","0.00","","0.00","0.00","","","","6.00","1.00","16.67","7.33","4.00","0.00","0.00","","",""
"доставка супа киров","2019-07-01 - 2019-09-09","6.00","2.00","33.33","3.50","2.50","0.00","0.00","0.00","","3.00","2.00","66.67","2.67","2.50","3.00","0.00","0.00","4.33","","0.00","0.00","","",""
"шумовк","2019-07-01 - 2019-09-09","6.00","1.00","16.67","4.50","3.00","0.00","0.00","0.00","","4.00","1.00","25.00","2.75","3.00","1.00","0.00","0.00","4.00","","1.00","0.00","0.00","12.00",""
"тяханы киров","2019-07-01 - 2019-09-09","6.00","0.00","0.00","1.00","","0.00","6.00","0.00","0.00","0.00","0.00","","","","0.00","0.00","","","","0.00","0.00","","",""
"доставка готовой еды на дом киров","2019-07-01 - 2019-09-09","6.00","0.00","0.00","18.83","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","6.00","0.00","0.00","18.83",""
"ljcnfdrf tls rbhjd","2019-07-01 - 2019-09-09","6.00","1.00","16.67","11.00","5.00","0.00","0.00","0.00","","1.00","0.00","0.00","2.00","","1.00","1.00","100.00","5.00","5.00","4.00","0.00","0.00","14.75",""
"заказать еду на дом","2019-07-01 - 2019-09-09","6.00","0.00","0.00","7.83","","0.00","0.00","0.00","","0.00","0.00","","","","5.00","0.00","0.00","7.00","","1.00","0.00","0.00","12.00",""
"еда заказать на дом","2019-07-01 - 2019-09-09","6.00","0.00","0.00","11.33","","0.00","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","8.50","","4.00","0.00","0.00","12.75",""
"пельменная в кирове","2019-07-01 - 2019-09-09","6.00","0.00","0.00","10.50","","0.00","0.00","0.00","","0.00","0.00","","","","3.00","0.00","0.00","9.33","","3.00","0.00","0.00","11.67",""
"доставки еды киров","2019-07-01 - 2019-09-09","5.00","1.00","20.00","11.20","2.00","0.00","0.00","0.00","","1.00","1.00","100.00","2.00","2.00","0.00","0.00","","","","4.00","0.00","0.00","13.50",""
"shumovka_","2019-07-01 - 2019-09-09","5.00","0.00","0.00","4.40","","0.00","1.00","0.00","0.00","1.00","0.00","0.00","3.00","","3.00","0.00","0.00","6.00","","0.00","0.00","","",""
"киров удон","2019-07-01 - 2019-09-09","5.00","0.00","0.00","8.60","","0.00","0.00","0.00","","0.00","0.00","","","","5.00","0.00","0.00","8.60","","0.00","0.00","","",""
"киров заказать пиццу","2019-07-01 - 2019-09-09","5.00","0.00","0.00","8.20","","0.00","0.00","0.00","","0.00","0.00","","","","3.00","0.00","0.00","6.00","","2.00","0.00","0.00","11.50",""
"кафе шумовка калинина 40 меню","2019-07-01 - 2019-09-09","5.00","1.00","20.00","2.00","2.00","0.00","0.00","0.00","","5.00","1.00","20.00","2.00","2.00","0.00","0.00","","","","0.00","0.00","","",""
"чебуречная в кирове","2019-07-01 - 2019-09-09","5.00","1.00","20.00","8.80","8.00","0.00","0.00","0.00","","0.00","0.00","","","","4.00","1.00","25.00","8.25","8.00","1.00","0.00","0.00","11.00",""
"доставка продуктов на дом киров","2019-07-01 - 2019-09-09","5.00","0.00","0.00","30.20","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","5.00","0.00","0.00","30.20",""
"еда на дом доставка","2019-07-01 - 2019-09-09","5.00","0.00","0.00","14.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","5.00","0.00","0.00","14.00",""
"вкусная пицца киров","2019-07-01 - 2019-09-09","5.00","0.00","0.00","8.20","","0.00","0.00","0.00","","0.00","0.00","","","","4.00","0.00","0.00","7.50","","1.00","0.00","0.00","11.00",""
"шумовка ул. калинина, 40, ленинский район","2019-07-01 - 2019-09-09","5.00","0.00","0.00","1.80","","0.00","1.00","0.00","0.00","4.00","0.00","0.00","2.00","","0.00","0.00","","","","0.00","0.00","","",""
"еда на дом киров круглосуточно","2019-07-01 - 2019-09-09","5.00","2.00","40.00","10.20","11.00","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","4.00","2.00","50.00","11.00","11.00"
"киров , кировская область заморозка полуфабрикаты оптом чебуреки, пиццы","2019-07-01 - 2019-09-09","5.00","0.00","0.00","9.60","","0.00","0.00","0.00","","0.00","0.00","","","","5.00","0.00","0.00","9.60","","0.00","0.00","","",""
"паста с доставкой киров","2019-07-01 - 2019-09-09","5.00","0.00","0.00","22.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","5.00","0.00","0.00","22.00",""
"еда с собой киров","2019-07-01 - 2019-09-09","5.00","0.00","0.00","11.80","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","4.00","0.00","0.00","12.25",""
"еда доставка киров","2019-07-01 - 2019-09-09","5.00","0.00","0.00","14.60","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","5.00","0.00","0.00","14.60",""
"заказ роллов в кирове с доставкой","2019-07-01 - 2019-09-09","5.00","0.00","0.00","12.60","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","5.00","0.00","0.00","12.60",""
"доставка горячих блинов в кирове телефон","2019-07-01 - 2019-09-09","5.00","0.00","0.00","3.00","","0.00","0.00","0.00","","5.00","0.00","0.00","3.00","","0.00","0.00","","","","0.00","0.00","","",""
"доставка горячих обедов киров","2019-07-01 - 2019-09-09","5.00","0.00","0.00","8.00","","0.00","0.00","0.00","","0.00","0.00","","","","4.00","0.00","0.00","6.25","","1.00","0.00","0.00","15.00",""
"шумовка киров отзывы","2019-07-01 - 2019-09-09","5.00","0.00","0.00","5.80","","0.00","0.00","0.00","","0.00","0.00","","","","5.00","0.00","0.00","5.80","","0.00","0.00","","",""
"столовая елки калинина 40","2019-07-01 - 2019-09-09","5.00","0.00","0.00","16.20","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","5.00","0.00","0.00","16.20",""
"цезарь доставка еды","2019-07-01 - 2019-09-09","5.00","0.00","0.00","6.80","","0.00","0.00","0.00","","0.00","0.00","","","","5.00","0.00","0.00","6.80","","0.00","0.00","","",""
"чизкейковая киров","2019-07-01 - 2019-09-09","5.00","0.00","0.00","9.80","","0.00","0.00","0.00","","0.00","0.00","","","","4.00","0.00","0.00","9.25","","1.00","0.00","0.00","12.00",""
"столовая калинина 40 киров","2019-07-01 - 2019-09-09","5.00","1.00","20.00","6.80","4.00","0.00","0.00","0.00","","0.00","0.00","","","","4.00","1.00","25.00","5.75","4.00","1.00","0.00","0.00","11.00",""
"вятский чебурек меню","2019-07-01 - 2019-09-09","5.00","0.00","0.00","10.20","","0.00","0.00","0.00","","0.00","0.00","","","","3.00","0.00","0.00","9.33","","2.00","0.00","0.00","11.50",""
"наш хмель киров калинина 40","2019-07-01 - 2019-09-09","5.00","0.00","0.00","9.20","","0.00","0.00","0.00","","0.00","0.00","","","","3.00","0.00","0.00","8.00","","2.00","0.00","0.00","11.00",""
"доставка чизкейков киров","2019-07-01 - 2019-09-09","5.00","0.00","0.00","5.00","","0.00","0.00","0.00","","0.00","0.00","","","","5.00","0.00","0.00","5.00","","0.00","0.00","","",""
"заказ еды на дом","2019-07-01 - 2019-09-09","5.00","0.00","0.00","11.20","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","4.00","0.00","0.00","11.75",""
"сладости на заказ киров","2019-07-01 - 2019-09-09","5.00","1.00","20.00","5.00","3.00","0.00","0.00","0.00","","2.00","1.00","50.00","3.00","3.00","3.00","0.00","0.00","6.33","","0.00","0.00","","",""
"shymovka43","2019-07-01 - 2019-09-09","5.00","1.00","20.00","3.40","1.00","0.00","1.00","1.00","100.00","2.00","0.00","0.00","2.50","","2.00","0.00","0.00","5.50","","0.00","0.00","","",""
"доставка горячей еды киров","2019-07-01 - 2019-09-09","5.00","1.00","20.00","7.00","4.00","0.00","0.00","0.00","","0.00","0.00","","","","5.00","1.00","20.00","7.00","4.00","0.00","0.00","","",""
"купить роллы в кирове с доставкой","2019-07-01 - 2019-09-09","5.00","0.00","0.00","12.20","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","5.00","0.00","0.00","12.20",""
"заказать блины киров","2019-07-01 - 2019-09-09","5.00","3.00","60.00","3.20","3.00","0.00","0.00","0.00","","3.00","2.00","66.67","2.00","2.00","2.00","1.00","50.00","5.00","5.00","0.00","0.00","","",""
"киров еда","2019-07-01 - 2019-09-09","5.00","0.00","0.00","20.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","5.00","0.00","0.00","20.00",""
"шумовка киров еда","2019-07-01 - 2019-09-09","5.00","1.00","20.00","1.80","2.00","0.00","1.00","0.00","0.00","4.00","1.00","25.00","2.00","2.00","0.00","0.00","","","","0.00","0.00","","",""
"десерты в кирове","2019-07-01 - 2019-09-09","5.00","0.00","0.00","4.60","","0.00","0.00","0.00","","1.00","0.00","0.00","3.00","","4.00","0.00","0.00","5.00","","0.00","0.00","","",""
"шумовка улица калинина, 40","2019-07-01 - 2019-09-09","4.00","0.00","0.00","2.75","","0.00","0.00","0.00","","3.00","0.00","0.00","2.33","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"доставка обедов на дом киров","2019-07-01 - 2019-09-09","4.00","0.00","0.00","16.50","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","3.00","0.00","0.00","18.67",""
"пивная тарелка","2019-07-01 - 2019-09-09","4.00","1.00","25.00","5.00","7.00","0.00","0.00","0.00","","1.00","0.00","0.00","3.00","","3.00","1.00","33.33","5.67","7.00","0.00","0.00","","",""
"киров заказ чебуреков","2019-07-01 - 2019-09-09","4.00","1.00","25.00","4.75","5.00","0.00","0.00","0.00","","0.00","0.00","","","","4.00","1.00","25.00","4.75","5.00","0.00","0.00","","",""
"foodcity43","2019-07-01 - 2019-09-09","4.00","0.00","0.00","11.50","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","4.00","0.00","0.00","11.50",""
"кафе шумовка киров работа","2019-07-01 - 2019-09-09","4.00","0.00","0.00","5.00","","0.00","0.00","0.00","","0.00","0.00","","","","4.00","0.00","0.00","5.00","","0.00","0.00","","",""
"заказать еду киров круглосуточно","2019-07-01 - 2019-09-09","4.00","0.00","0.00","8.75","","0.00","0.00","0.00","","0.00","0.00","","","","4.00","0.00","0.00","8.75","","0.00","0.00","","",""
"доставка еды супчик киров","2019-07-01 - 2019-09-09","4.00","0.00","0.00","3.75","","0.00","0.00","0.00","","1.00","0.00","0.00","3.00","","3.00","0.00","0.00","4.00","","0.00","0.00","","",""
"доставка десертов киров","2019-07-01 - 2019-09-09","4.00","1.00","25.00","2.25","2.00","0.00","0.00","0.00","","4.00","1.00","25.00","2.25","2.00","0.00","0.00","","","","0.00","0.00","","",""
"калинина 40 киров столовая","2019-07-01 - 2019-09-09","4.00","0.00","0.00","8.50","","0.00","0.00","0.00","","0.00","0.00","","","","3.00","0.00","0.00","7.67","","1.00","0.00","0.00","11.00",""
"https://shymovka43.ru/menu/+78332416646","2019-07-01 - 2019-09-09","4.00","1.00","25.00","3.75","2.00","0.00","1.00","0.00","0.00","1.00","1.00","100.00","2.00","2.00","2.00","0.00","0.00","6.00","","0.00","0.00","","",""
"41-66-46","2019-07-01 - 2019-09-09","4.00","0.00","0.00","3.00","","0.00","0.00","0.00","","2.00","0.00","0.00","2.00","","2.00","0.00","0.00","4.00","","0.00","0.00","","",""
"доставка еды киров супчик","2019-07-01 - 2019-09-09","4.00","0.00","0.00","3.75","","0.00","0.00","0.00","","2.00","0.00","0.00","3.00","","2.00","0.00","0.00","4.50","","0.00","0.00","","",""
"шумовка кафе","2019-07-01 - 2019-09-09","4.00","1.00","25.00","2.00","1.00","0.00","1.00","1.00","100.00","3.00","0.00","0.00","2.33","","0.00","0.00","","","","0.00","0.00","","",""
"чебуреки доставка","2019-07-01 - 2019-09-09","4.00","0.00","0.00","18.75","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","3.00","0.00","0.00","21.67",""
"заказ лапши киров","2019-07-01 - 2019-09-09","4.00","1.00","25.00","9.25","4.00","0.00","0.00","0.00","","0.00","0.00","","","","1.00","1.00","100.00","4.00","4.00","3.00","0.00","0.00","11.00",""
"домашняя еда с доставкой киров","2019-07-01 - 2019-09-09","4.00","0.00","0.00","7.75","","0.00","0.00","0.00","","0.00","0.00","","","","3.00","0.00","0.00","6.67","","1.00","0.00","0.00","11.00",""
"салат киров","2019-07-01 - 2019-09-09","4.00","1.00","25.00","5.00","6.00","0.00","0.00","0.00","","0.00","0.00","","","","4.00","1.00","25.00","5.00","6.00","0.00","0.00","","",""
"лапша удон купить в кирове","2019-07-01 - 2019-09-09","4.00","0.00","0.00","10.75","","0.00","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","10.00","","2.00","0.00","0.00","11.50",""
"суп киров","2019-07-01 - 2019-09-09","4.00","0.00","0.00","5.50","","0.00","0.00","0.00","","0.00","0.00","","","","4.00","0.00","0.00","5.50","","0.00","0.00","","",""
"вкусный обед доставка киров","2019-07-01 - 2019-09-09","4.00","0.00","0.00","13.75","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","4.00","0.00","0.00","13.75",""
"пицца 30 см","2019-07-01 - 2019-09-09","4.00","0.00","0.00","3.00","","0.00","0.00","0.00","","3.00","0.00","0.00","2.67","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"доставка готовой еды на дом","2019-07-01 - 2019-09-09","4.00","0.00","0.00","18.75","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","4.00","0.00","0.00","18.75",""
"заказать пивную тарелку киров","2019-07-01 - 2019-09-09","4.00","2.00","50.00","2.75","3.00","0.00","1.00","1.00","100.00","2.00","0.00","0.00","2.50","","1.00","1.00","100.00","5.00","5.00","0.00","0.00","","",""
"заказ пицца киров","2019-07-01 - 2019-09-09","4.00","0.00","0.00","9.75","","0.00","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","8.50","","2.00","0.00","0.00","11.00",""
"киров кафе шумовка","2019-07-01 - 2019-09-09","4.00","0.00","0.00","2.25","","0.00","2.00","0.00","0.00","1.00","0.00","0.00","3.00","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
