"Query","Dates range","Impressions","Clicks","CTR %","Avg. position","Avg. click position","Impressions for 1st position","Clicks from pos. 1","CTR % for pos. 1","Impressions for pos. 2-3","Clicks from pos. 2-3","CTR % for pos. 2-3","Avg. impression position for pos. 2-3","Avg. click position from pos. 2-3","Impressions for pos. 4-10","Clicks from pos. 4-10","CTR % for pos. 4-10","Avg. impression position for pos. 4-10","Avg. click position from pos. 4-10","Impressions for pos. 11-50","Clicks from pos. 11-50","CTR % for pos. 11-50","Avg. impression position for pos. 11-50","Avg. click position from pos. 11-50"
"пицца доставка киров","2019-07-04 - 2019-10-04","12.00","0.00","0.00","11.67","","0.00","0.00","","0.00","0.00","","","","5.00","0.00","0.00","10.00","","7.00","0.00","0.00","12.86",""
"заказ еды киров круглосуточно","2019-07-04 - 2019-10-04","12.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","9.00","0.00","0.00","8.33","","3.00","0.00","0.00","15.00",""
"шумовка 43","2019-07-04 - 2019-10-04","12.00","9.00","75.00","1.50","1.44","6.00","5.00","83.33","6.00","4.00","66.67","2.00","2.00","0.00","0.00","","","","0.00","0.00","","",""
"сергей обедов","2019-07-04 - 2019-10-04","12.00","0.00","0.00","8.33","","0.00","0.00","","0.00","0.00","","","","12.00","0.00","0.00","8.33","","0.00","0.00","","",""
"заказ роллов киров","2019-07-04 - 2019-10-04","11.00","0.00","0.00","31.45","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","11.00","0.00","0.00","31.45",""
"кафе десерт киров","2019-07-04 - 2019-10-04","11.00","0.00","0.00","10.36","","0.00","0.00","","0.00","0.00","","","","4.00","0.00","0.00","9.25","","7.00","0.00","0.00","11.00",""
"лапша удон киров","2019-07-04 - 2019-10-04","11.00","1.00","9.09","9.45","12.00","0.00","0.00","","0.00","0.00","","","","8.00","0.00","0.00","8.63","","3.00","1.00","33.33","11.67","12.00"
"роллы киров","2019-07-04 - 2019-10-04","11.00","0.00","0.00","10.82","","0.00","0.00","","0.00","0.00","","","","5.00","0.00","0.00","6.40","","6.00","0.00","0.00","14.50",""
"цезарь еда киров","2019-07-04 - 2019-10-04","11.00","0.00","0.00","13.55","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","11.00","0.00","0.00","13.55",""
"кафе шумовка","2019-07-04 - 2019-10-04","11.00","4.00","36.36","2.09","1.50","1.00","2.00","200.00","10.00","2.00","20.00","2.20","2.00","0.00","0.00","","","","0.00","0.00","","",""
"обед на дом киров","2019-07-04 - 2019-10-04","11.00","1.00","9.09","11.00","8.00","0.00","0.00","","0.00","0.00","","","","4.00","1.00","25.00","8.25","8.00","7.00","0.00","0.00","12.57",""
"киров заказать пиццу","2019-07-04 - 2019-10-04","11.00","1.00","9.09","8.73","9.00","0.00","0.00","","0.00","0.00","","","","9.00","1.00","11.11","8.11","9.00","2.00","0.00","0.00","11.50",""
"еда доставка киров","2019-07-04 - 2019-10-04","11.00","0.00","0.00","10.55","","0.00","0.00","","1.00","0.00","0.00","3.00","","4.00","0.00","0.00","7.25","","6.00","0.00","0.00","14.00",""
"еда с доставкой киров","2019-07-04 - 2019-10-04","11.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","7.00","0.00","0.00","6.29","","4.00","0.00","0.00","16.50",""
"лапша киров","2019-07-04 - 2019-10-04","11.00","1.00","9.09","9.91","13.00","0.00","0.00","","0.00","0.00","","","","8.00","0.00","0.00","9.13","","3.00","1.00","33.33","12.00","13.00"
"купить роллы в кирове","2019-07-04 - 2019-10-04","11.00","0.00","0.00","8.45","","0.00","0.00","","0.00","0.00","","","","8.00","0.00","0.00","7.50","","3.00","0.00","0.00","11.00",""
"заказать роллы на дом киров","2019-07-04 - 2019-10-04","11.00","0.00","0.00","16.45","","0.00","0.00","","0.00","0.00","","","","7.00","0.00","0.00","8.57","","4.00","0.00","0.00","30.25",""
"еда на заказ с доставкой киров","2019-07-04 - 2019-10-04","11.00","0.00","0.00","11.82","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","9.50","","9.00","0.00","0.00","12.33",""
"чебуречная","2019-07-04 - 2019-10-04","11.00","0.00","0.00","9.09","","0.00","0.00","","0.00","0.00","","","","6.00","0.00","0.00","6.83","","5.00","0.00","0.00","11.80",""
"доставка десертов киров","2019-07-04 - 2019-10-04","11.00","3.00","27.27","2.00","1.33","1.00","2.00","200.00","10.00","1.00","10.00","2.10","2.00","0.00","0.00","","","","0.00","0.00","","",""
"заказ пицца киров","2019-07-04 - 2019-10-04","11.00","0.00","0.00","11.18","","0.00","0.00","","0.00","0.00","","","","3.00","0.00","0.00","9.00","","8.00","0.00","0.00","12.00",""
"удон киров доставка","2019-07-04 - 2019-10-04","10.00","0.00","0.00","7.40","","0.00","0.00","","0.00","0.00","","","","10.00","0.00","0.00","7.40","","0.00","0.00","","",""
"чизкейк киров доставка","2019-07-04 - 2019-10-04","10.00","0.00","0.00","6.20","","0.00","0.00","","0.00","0.00","","","","10.00","0.00","0.00","6.20","","0.00","0.00","","",""
"доставка сеты киров","2019-07-04 - 2019-10-04","10.00","0.00","0.00","29.40","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","10.00","0.00","0.00","29.40",""
"супчик 43 вконтакте","2019-07-04 - 2019-10-04","10.00","0.00","0.00","14.20","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","9.00","0.00","0.00","14.67",""
"вкусные роллы киров доставка","2019-07-04 - 2019-10-04","10.00","0.00","0.00","8.30","","0.00","0.00","","0.00","0.00","","","","9.00","0.00","0.00","8.00","","1.00","0.00","0.00","11.00",""
"кафе шумовка калинина 40","2019-07-04 - 2019-10-04","10.00","3.00","30.00","2.50","1.67","1.00","2.00","200.00","8.00","1.00","12.50","2.50","3.00","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"пицца киров заказать с доставкой","2019-07-04 - 2019-10-04","10.00","1.00","10.00","10.30","8.00","0.00","0.00","","0.00","0.00","","","","5.00","1.00","20.00","8.40","8.00","5.00","0.00","0.00","12.20",""
"вятский чебурек доставка","2019-07-04 - 2019-10-04","10.00","0.00","0.00","9.20","","0.00","0.00","","0.00","0.00","","","","9.00","0.00","0.00","8.89","","1.00","0.00","0.00","12.00",""
"десерты киров","2019-07-04 - 2019-10-04","10.00","3.00","30.00","3.70","3.33","2.00","1.00","50.00","4.00","1.00","25.00","2.50","2.00","4.00","1.00","25.00","6.25","7.00","0.00","0.00","","",""
"заказ пиццы","2019-07-04 - 2019-10-04","10.00","0.00","0.00","9.30","","0.00","0.00","","0.00","0.00","","","","8.00","0.00","0.00","8.63","","2.00","0.00","0.00","12.00",""
"вятский чебурек меню","2019-07-04 - 2019-10-04","10.00","0.00","0.00","9.40","","0.00","0.00","","0.00","0.00","","","","8.00","0.00","0.00","8.88","","2.00","0.00","0.00","11.50",""
"блины киров доставка","2019-07-04 - 2019-10-04","10.00","3.00","30.00","1.20","1.33","8.00","2.00","25.00","2.00","1.00","50.00","2.00","2.00","0.00","0.00","","","","0.00","0.00","","",""
"роллы в кирове","2019-07-04 - 2019-10-04","10.00","0.00","0.00","11.90","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","9.00","0.00","0.00","12.11",""
"вкусная пицца в кирове с доставкой","2019-07-04 - 2019-10-04","10.00","0.00","0.00","5.60","","0.00","0.00","","1.00","0.00","0.00","3.00","","9.00","0.00","0.00","5.89","","0.00","0.00","","",""
"wok-лапша киров","2019-07-04 - 2019-10-04","10.00","0.00","0.00","13.60","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","10.00","0.00","0.00","13.60",""
"доставка еды киров от 300 рублей","2019-07-04 - 2019-10-04","10.00","1.00","10.00","10.40","6.00","0.00","0.00","","0.00","0.00","","","","6.00","1.00","16.67","8.83","6.00","4.00","0.00","0.00","12.75",""
"роллы в кирове с доставкой","2019-07-04 - 2019-10-04","10.00","0.00","0.00","9.80","","0.00","0.00","","0.00","0.00","","","","7.00","0.00","0.00","9.00","","3.00","0.00","0.00","11.67",""
"доставка роллы киров","2019-07-04 - 2019-10-04","9.00","0.00","0.00","23.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","9.00","0.00","0.00","23.00",""
"заказ пиццы в кирове","2019-07-04 - 2019-10-04","9.00","0.00","0.00","11.67","","0.00","0.00","","0.00","0.00","","","","3.00","0.00","0.00","9.67","","6.00","0.00","0.00","12.67",""
"лапша киров доставка","2019-07-04 - 2019-10-04","9.00","1.00","11.11","6.56","5.00","0.00","0.00","","0.00","0.00","","","","9.00","1.00","11.11","6.56","5.00","0.00","0.00","","",""
"вкусноблин киров доставка","2019-07-04 - 2019-10-04","9.00","0.00","0.00","8.00","","0.00","0.00","","0.00","0.00","","","","8.00","0.00","0.00","7.63","","1.00","0.00","0.00","11.00",""
"еда на дом киров круглосуточно","2019-07-04 - 2019-10-04","9.00","3.00","33.33","9.22","10.67","0.00","0.00","","0.00","0.00","","","","5.00","1.00","20.00","7.80","10.00","4.00","2.00","50.00","11.00","11.00"
"заказать пиццу в кирове на дом","2019-07-04 - 2019-10-04","9.00","0.00","0.00","16.89","","0.00","0.00","","0.00","0.00","","","","3.00","0.00","0.00","6.00","","6.00","0.00","0.00","22.33",""
"чебуреки с доставкой","2019-07-04 - 2019-10-04","9.00","0.00","0.00","9.33","","0.00","0.00","","0.00","0.00","","","","6.00","0.00","0.00","8.00","","3.00","0.00","0.00","12.00",""
"шумовк","2019-07-04 - 2019-10-04","8.00","1.00","12.50","4.13","3.00","0.00","0.00","","5.00","1.00","20.00","2.60","3.00","2.00","0.00","0.00","4.00","","1.00","0.00","0.00","12.00",""
"китайская лапша киров","2019-07-04 - 2019-10-04","8.00","1.00","12.50","11.50","11.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","7.00","1.00","14.29","11.86","11.00"
"шумовка киров калинина 40 доставка","2019-07-04 - 2019-10-04","8.00","1.00","12.50","2.00","2.00","0.00","0.00","","8.00","1.00","12.50","2.00","2.00","0.00","0.00","","","","0.00","0.00","","",""
"доставка готовой еды киров","2019-07-04 - 2019-10-04","8.00","0.00","0.00","10.50","","0.00","0.00","","0.00","0.00","","","","3.00","0.00","0.00","9.00","","5.00","0.00","0.00","11.40",""
"пельмени кировские","2019-07-04 - 2019-10-04","8.00","0.00","0.00","7.38","","0.00","0.00","","0.00","0.00","","","","8.00","0.00","0.00","7.38","","0.00","0.00","","",""
"шумовка кафе киров","2019-07-04 - 2019-10-04","8.00","2.00","25.00","2.38","2.00","0.00","0.00","","8.00","2.00","25.00","2.38","2.00","0.00","0.00","","","","0.00","0.00","","",""
"заказ еды онлайн 130","2019-07-04 - 2019-10-04","8.00","0.00","0.00","10.38","","0.00","0.00","","0.00","0.00","","","","5.00","0.00","0.00","7.00","","3.00","0.00","0.00","16.00",""
"киров заказать еду","2019-07-04 - 2019-10-04","8.00","0.00","0.00","9.88","","0.00","0.00","","0.00","0.00","","","","5.00","0.00","0.00","7.20","","3.00","0.00","0.00","14.33",""
"заказ роллов в кирове","2019-07-04 - 2019-10-04","8.00","0.00","0.00","10.75","","0.00","0.00","","0.00","0.00","","","","4.00","0.00","0.00","9.50","","4.00","0.00","0.00","12.00",""
"пельмени толмачев киров","2019-07-04 - 2019-10-04","8.00","0.00","0.00","13.63","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","8.00","0.00","0.00","13.63",""
"шумовка киров еда","2019-07-04 - 2019-10-04","8.00","1.00","12.50","2.00","2.00","1.00","0.00","0.00","7.00","1.00","14.29","2.14","2.00","0.00","0.00","","","","0.00","0.00","","",""
"киров пицца доставка","2019-07-04 - 2019-10-04","8.00","0.00","0.00","9.63","","0.00","0.00","","0.00","0.00","","","","5.00","0.00","0.00","8.60","","3.00","0.00","0.00","11.33",""
"еда 43","2019-07-04 - 2019-10-04","8.00","1.00","12.50","7.88","4.00","0.00","0.00","","1.00","0.00","0.00","3.00","","5.00","1.00","20.00","6.40","4.00","2.00","0.00","0.00","14.00",""
"доставка продуктов киров","2019-07-04 - 2019-10-04","8.00","0.00","0.00","27.13","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","8.00","0.00","0.00","27.13",""
"роллы киров доставка","2019-07-04 - 2019-10-04","8.00","1.00","12.50","16.13","11.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","7.00","1.00","14.29","17.00","11.00"
"доставка 43","2019-07-04 - 2019-10-04","8.00","0.00","0.00","22.75","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","8.00","0.00","0.00","22.75",""
"роллы с доставкой киров","2019-07-04 - 2019-10-04","7.00","0.00","0.00","8.86","","0.00","0.00","","0.00","0.00","","","","5.00","0.00","0.00","8.00","","2.00","0.00","0.00","11.00",""
"вятские чебуреки киров","2019-07-04 - 2019-10-04","7.00","0.00","0.00","9.57","","0.00","0.00","","0.00","0.00","","","","5.00","0.00","0.00","8.80","","2.00","0.00","0.00","11.50",""
"калинина 40","2019-07-04 - 2019-10-04","7.00","0.00","0.00","10.71","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","7.00","","5.00","0.00","0.00","12.20",""
"заказ еды на дом","2019-07-04 - 2019-10-04","7.00","0.00","0.00","8.86","","0.00","0.00","","2.00","0.00","0.00","3.00","","1.00","0.00","0.00","9.00","","4.00","0.00","0.00","11.75",""
"доставка еды киров супчик","2019-07-04 - 2019-10-04","7.00","0.00","0.00","3.86","","0.00","0.00","","2.00","0.00","0.00","3.00","","5.00","0.00","0.00","4.20","","0.00","0.00","","",""
"пельмени от стряпухи киров","2019-07-04 - 2019-10-04","7.00","0.00","0.00","10.43","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","8.50","","5.00","0.00","0.00","11.20",""
"киров пицца заказать","2019-07-04 - 2019-10-04","7.00","0.00","0.00","10.57","","0.00","0.00","","0.00","0.00","","","","4.00","0.00","0.00","10.00","","3.00","0.00","0.00","11.33",""
"доставка еды круглосуточно киров","2019-07-04 - 2019-10-04","7.00","0.00","0.00","14.43","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","6.00","0.00","0.00","15.50",""
"калинина 40 кафе","2019-07-04 - 2019-10-04","7.00","0.00","0.00","3.86","","0.00","0.00","","3.00","0.00","0.00","3.00","","4.00","0.00","0.00","4.50","","0.00","0.00","","",""
"заказать удон в кирове","2019-07-04 - 2019-10-04","7.00","0.00","0.00","5.71","","0.00","0.00","","2.00","0.00","0.00","3.00","","5.00","0.00","0.00","6.80","","0.00","0.00","","",""
"роллы заказать","2019-07-04 - 2019-10-04","7.00","0.00","0.00","12.71","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","9.50","","5.00","0.00","0.00","14.00",""
"столовая калинина 40 киров","2019-07-04 - 2019-10-04","7.00","1.00","14.29","7.43","4.00","0.00","0.00","","0.00","0.00","","","","5.00","1.00","20.00","6.00","4.00","2.00","0.00","0.00","11.00",""
"пицца доставка","2019-07-04 - 2019-10-04","7.00","0.00","0.00","8.00","","0.00","0.00","","0.00","0.00","","","","6.00","0.00","0.00","7.50","","1.00","0.00","0.00","11.00",""
"круглосуточная доставка еды киров","2019-07-04 - 2019-10-04","7.00","0.00","0.00","12.43","","0.00","0.00","","0.00","0.00","","","","3.00","0.00","0.00","9.67","","4.00","0.00","0.00","14.50",""
"бесплатная доставка еды киров","2019-07-04 - 2019-10-04","7.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","6.00","0.00","0.00","8.17","","1.00","0.00","0.00","21.00",""
"доставка еды от 300 рублей в кирове","2019-07-04 - 2019-10-04","7.00","0.00","0.00","10.86","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","6.00","0.00","0.00","11.00",""
"купить роллы в кирове с доставкой","2019-07-04 - 2019-10-04","7.00","0.00","0.00","11.29","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","9.00","","5.00","0.00","0.00","12.20",""
"доставка пицца киров","2019-07-04 - 2019-10-04","7.00","1.00","14.29","9.14","11.00","2.00","0.00","0.00","0.00","0.00","","","","2.00","0.00","0.00","9.50","","3.00","1.00","33.33","14.33","11.00"
"вятский чебурек киров меню","2019-07-04 - 2019-10-04","7.00","0.00","0.00","7.86","","0.00","0.00","","0.00","0.00","","","","7.00","0.00","0.00","7.86","","0.00","0.00","","",""
"обед киров доставка","2019-07-04 - 2019-10-04","7.00","0.00","0.00","12.14","","0.00","0.00","","1.00","0.00","0.00","3.00","","3.00","0.00","0.00","7.33","","3.00","0.00","0.00","20.00",""
"чизкейк в кирове","2019-07-04 - 2019-10-04","7.00","0.00","0.00","8.00","","0.00","0.00","","0.00","0.00","","","","7.00","0.00","0.00","8.00","","0.00","0.00","","",""
"заказать еду в кирове на дом","2019-07-04 - 2019-10-04","7.00","1.00","14.29","11.29","8.00","0.00","0.00","","0.00","0.00","","","","1.00","1.00","100.00","8.00","8.00","6.00","0.00","0.00","11.83",""
"шумовка ул. калинина, 40, ленинский район","2019-07-04 - 2019-10-04","7.00","0.00","0.00","2.14","","1.00","0.00","0.00","5.00","0.00","0.00","2.00","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"кафе шумовка калинина 40 меню","2019-07-04 - 2019-10-04","7.00","2.00","28.57","2.00","2.00","0.00","0.00","","7.00","2.00","28.57","2.00","2.00","0.00","0.00","","","","0.00","0.00","","",""
